模型,K值,Silhouette,ARI,NMI,Homogeneity,Completeness,V-Measure
KMeans,6.0,0.1618703221698443,0.003803394399023434,0.007283008314314139,0.011394356819056725,0.0053519136160855765,0.0072830083143141395
KModes,6.0,-0.005803477742706441,-0.0036758311649871104,0.044469286824717416,0.06827185610753943,0.03297333367469293,0.044469286824717416
Agglomerative,6.0,0.13968337255535151,0.007313073613177215,0.014521336194738506,0.022315037729712293,0.010762462095232638,0.01452133619473851
MeanShift,1.0,,0.0,0.0,0.0,1.0,0.0
DBSCAN,1.0,,0.0,0.0,0.0,1.0,0.0
