模型,K值,Silhouette,ARI,NMI,Homogeneity,Completeness,V-Measure
KMeans,8.0,0.17204794782267457,0.0013966571351792802,0.013390512016957068,0.023353699675058747,0.009386170833192787,0.013390512016957068
KModes,3.0,0.01908634675967084,0.18257844680157145,0.15041605628672372,0.17123338049264977,0.13411171720912404,0.15041605628672375
Agglomerative,8.0,0.17204794782267457,0.0013966571351792802,0.013390512016957068,0.023353699675058747,0.009386170833192787,0.013390512016957068
MeanShift,2.0,0.1423988622578301,0.00342001840969175,0.006529182107767154,0.005972130347211739,0.00720084223788623,0.006529182107767155
DBSCAN,1.0,,0.0,0.0,0.0,1.0,0.0
